Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2008","2008","tonnes","29","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2009","2009","tonnes","27","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2010","2010","tonnes","12","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2011","2011","tonnes","18","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2012","2012","tonnes","15","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2013","2013","tonnes","5","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2014","2014","tonnes","29","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2015","2015","tonnes","24","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2016","2016","tonnes","7","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2017","2017","tonnes","12","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2018","2018","tonnes","18","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2019","2019","tonnes","9","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2020","2020","tonnes","11","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1988","1988","1000 US$","20","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1989","1989","1000 US$","9","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1990","1990","1000 US$","35","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1991","1991","1000 US$","70","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1992","1992","1000 US$","68","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1993","1993","1000 US$","47","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1994","1994","1000 US$","119","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1995","1995","1000 US$","81","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1996","1996","1000 US$","69","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1997","1997","1000 US$","41","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1998","1998","1000 US$","17","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","388","Tomatoes","1999","1999","1000 US$","23","","Official data"
